Extension,Result,Assumption,AppName,AppPath,DdeExec,SysFileAssoc,WinFileAssoc,HKCU_SwCls,HKLU_has,User_Choice,User_ChoiceExec,User_ChoiceToast,User_CntProgids,User_ProgidOne,User_ProgidOneExec,User_ProgidOneToast,User_ProgIdsValid,User_ProgIdsValid2,User_CntList,User_ValidList,Root_Default,Root_DefaultExec,Root_DefaultToast,Root_CntProgids,Root_ProgidsValid,Root_ProgidOne,Root_ProgidOneExec,Root_ProgidOneToast,Root_CountList,Root_ListIsValid,Root_PersistentHandler,Root_ContentType,Root_PerceivedType
.bsc,,openwith2,,,,,,,True,,False,False,1,VisualStudio.bsc.f12b09fd,False,False,False,False,0,True,VisualStudio.bsc.f12b09fd,False,False,0,True,,False,False,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},,
.c,recommended,exec3,Microsoft Visual Studio 2022,"""C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe"" /dde","Open(""%1"")",,,,True,,False,False,0,,False,False,True,False,devenv.exe,False,,False,False,1,True,VisualStudio.c.f12b09fd,True,True,0,True,{5e941d80-bf96-11cd-b579-08002b30bfeb},text/plain,text
.c5e2524a-ea46-4f67-841f-6a9465d9d515,,exec4,File Explorer,C:\Windows\SystemApps\Microsoft.Windows.FileExplorer_cw5n1h2txyewy?,,,yes:appx8mn6f6acw2d3hves535dpq0zqnxqkec7,yes,False,,False,False,0,,False,False,True,False,,True,,False,False,1,False,AppX8mn6f6acw2d3hves535dpq0zqnxqkec7,False,False,0,True,,,
.cab,,exec3,Windows Explorer,"C:\Windows\Explorer.exe /idlist,%I,%L",,yes:noshell,,,True,,False,False,1,CABFolder,True,True,True,False,0,True,CABFolder,True,True,1,True,CABFolder,True,True,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},,compressed
.camp,,exec3,Microsoft Color Control Panel,"""colorcpl.exe"" ""%1""",,,,,False,,False,False,0,,False,False,True,False,,True,campfile,False,False,0,True,,False,False,0,True,,,
.cap,,exec4,Photos,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2023.10030.27002.0_x64__8wekyb3d8bbwe?,,yes:noshell,yes:appx9rkaq77s0jzh1tyccadx9ghba15r6t3h,yes,False,,False,False,0,,False,False,True,False,,True,,False,False,1,False,AppX9rkaq77s0jzh1tyccadx9ghba15r6t3h,False,False,0,True,,image/CAP,image
.cat,,exec3,Crypto Shell Extensions,"C:\Windows\system32\rundll32.exe cryptext.dll,CryptExtOpenCAT %1",,,,,False,,False,False,0,,False,False,True,False,,True,CATFile,True,False,0,True,,False,False,0,True,,application/vnd.ms-pki.seccat,
.cc,recommended,exec3,Microsoft Visual Studio 2022,"""C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe"" /dde","Open(""%1"")",,,,True,,False,False,0,,False,False,True,False,devenv.exe,False,,False,False,1,True,VisualStudio.cc.f12b09fd,True,True,0,True,{5e941d80-bf96-11cd-b579-08002b30bfeb},text/plain,text
.cda,,exec3,Windows Media Player,"""C:\Program Files (x86)\Windows Media Player\wmplayer.exe"" /Play ""%L""",,,,,False,,False,False,0,,False,False,True,False,,True,WMP11.AssocFile.CDA,True,False,1,False,WMP11.AssocFile.CDA,True,False,0,True,{098f2470-bae0-11cd-b579-08002b30bfeb},,
.cdmp,,exec3,Microsoft Color Control Panel,"""colorcpl.exe"" ""%1""",,,,,False,,False,False,0,,False,False,True,False,,True,cdmpfile,False,False,0,True,,False,False,0,True,,,
